Arquivo;OS;FT;NF;DATA;ORCAMENTO;TOTAL
4042.pdf;N/A;74516;1009485;25/04/2025;004042;483,00
4043.pdf;N/A;74516;1009485;25/04/2025;004043;427,00
4044.pdf;N/A;74516;1009485;25/04/2025;004044;168,50
4045.pdf;N/A;362069;1009486;25/04/2025;004045;340,50
4046.pdf;N/A;362069;1009486;25/04/2025;004046;427,00
4047.pdf;N/A;120033;1009487;25/04/2025;004047;340,50
4048.pdf;N/A;119930;1009490;25/04/2025;004048;143,40
4049.pdf;N/A;119930;1009490;25/04/2025;004049;204,00
4050.pdf;N/A;98368;1009491;25/04/2025;004050;340,50
4051.pdf;N/A;98368;1009491;25/04/2025;004051;427,00
4052.pdf;N/A;96374;1009492;25/04/2025;004052;340,50
4053.pdf;N/A;96374;1009492;25/04/2025;004053;170,50
4054.pdf;N/A;96357;1009493;25/04/2025;004054;204,00
4363.pdf;165490686;10610;1012814;19/05/2025;004363;141,08
4364.pdf;165490686;10610;1012814;19/05/2025;004364;141,08
4365.pdf;165490702;96356;1012816;19/05/2025;004365;354,00
4366.pdf;165490701;96358;1012819;19/05/2025;004366;354,00
4367.pdf;165490701;96358;1012819;19/05/2025;004367;354,00
4368.pdf;165490700;96371;1012820;19/05/2025;004368;141,08
4369.pdf;165490700;96371;1012820;19/05/2025;004369;141,08
4370.pdf;165490691;96673;1012821;19/05/2025;004370;141,08
4371.pdf;165490691;96673;1012821;19/05/2025;004371;141,08
4372.pdf;165490702;102780;1012822;19/05/2025;004372;1.710,00
4373.pdf;165490688;119930;1012824;19/05/2025;004373;141,08
4374.pdf;165490688;119930;1012824;19/05/2025;004374;141,08
4375.pdf;165490689;120031;1012825;19/05/2025;004375;141,08
4376.pdf;165490689;120031;1012825;19/05/2025;004376;141,08
4377.pdf;165490684;120033;1012826;19/05/2025;004377;141,08
4378.pdf;165490684;120033;1012826;19/05/2025;004378;427,00
4379.pdf;165490684;120033;1012826;19/05/2025;004379;59,00
4380.pdf;165490962;131236;1012829;19/05/2025;004380;141,08
4381.pdf;165490962;131236;1012829;19/05/2025;004381;141,08
4382.pdf;165490687;139291;1012830;19/05/2025;004382;141,08
4383.pdf;165490687;139291;1012830;19/05/2025;004383;141,08
